Module_code,Index,lesson1_start,lesson1_end,lesson2_start,lesson2_end,lesson3_start,lesson3_end
CE3004,10846,Fri_8_30,Fri_10_20,,,,
CE4055,10176,Mon_12_30,Mon_14_20,Wed_15_30,Wed_17_20,,
CE4055,10177,Thu_12_30,Thu_14_20,Wed_15_30,Wed_17_20,,
CE4055,10178,Fri_12_30,Fri_14_20,Wed_15_30,Wed_17_20,,
CE4172,10182,Tue_11_30,Tue_13_20,Wed_14_30,Wed_16_20,,
CE4172,10183,Tue_11_30,Tue_13_20,Thu_14_30,Thu_16_20,,
CE4172,10184,Tue_11_30,Tue_13_20,Fri_14_30,Fri_16_20,,
CE4031,10848,Wed_11_30,Wed_12_20,Fri_11_30,Fri_13_20,,
HW0288,10017,Mon_16_30,Mon_18_20,,,,
HW0288,10018,Tue_16_30,Tue_18_20,,,,
HW0288,10019,Wed_16_30,Wed_18_20,,,,
HW0288,10020,Thu_16_30,Thu_18_20,,,,
HW0288,10021,Fri_16_30,Fri_18_20,,,,
HW0288,10022,Mon_16_30,Mon_18_20,,,,
HW0288,10023,Tue_16_30,Tue_18_20,,,,
HW0288,10024,Wed_16_30,Wed_18_20,,,,
HW0288,10025,Thu_16_30,Thu_18_20,,,,
HW0288,10026,Fri_16_30,Fri_18_20,,,,
HW0288,10027,Mon_14_30,Mon_16_20,,,,
HW0288,10028,Tue_14_30,Tue_16_20,,,,
HW0288,10029,Wed_14_30,Wed_16_20,,,,
HW0288,10030,Thu_14_30,Thu_16_20,,,,
HW0288,10031,Fri_14_30,Fri_16_20,,,,
SS5002,68102,Tue_13_30,Tue_13_30,,,,
SS5002,68103,Wed_18_30,Wed_21_20,,,,
SS5002,68104,Thu_18_30,Thu_21_20,,,,
